epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
75,13412.3,1.22959,1.25293,0.00698,0.67249,0.4993,0.51896,0.37867,1.31332,1.19288,0.01342,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,13695.4,1.22144,1.24228,0.00689,0.67586,0.49631,0.51916,0.37914,1.31319,1.19134,0.01342,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,13972.9,1.21316,1.22615,0.00688,0.67758,0.49694,0.51846,0.37838,1.31413,1.1886,0.01345,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,14245.5,1.20412,1.21072,0.00685,0.67113,0.4989,0.51871,0.37891,1.31269,1.18978,0.01343,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,14487.3,1.21104,1.21894,0.00684,0.67177,0.49911,0.52098,0.38085,1.31257,1.18768,0.01342,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,14767.8,1.20017,1.22032,0.00687,0.67415,0.49863,0.52068,0.38008,1.31094,1.18835,0.01337,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,14985.5,1.19444,1.21622,0.0068,0.70149,0.49803,0.52228,0.38156,1.31058,1.18713,0.01337,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,15264.4,1.20137,1.20538,0.00679,0.70718,0.50176,0.52327,0.38156,1.30988,1.1866,0.01337,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,15549.9,1.19298,1.19489,0.00668,0.70833,0.50195,0.52377,0.38243,1.31057,1.18609,0.01339,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,15820.4,1.19131,1.20379,0.00672,0.70504,0.50171,0.5227,0.38304,1.30931,1.18498,0.01336,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,16034.4,1.19042,1.19011,0.00665,0.69822,0.49717,0.52344,0.38324,1.30863,1.18449,0.01334,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,16281.3,1.18009,1.17391,0.00657,0.69331,0.50267,0.52485,0.38466,1.30915,1.18209,0.01334,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,16520.8,1.17928,1.17444,0.00663,0.69332,0.49996,0.52507,0.38475,1.30836,1.18133,0.01333,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,16758.3,1.17691,1.16123,0.00654,0.69453,0.49797,0.52541,0.38503,1.30841,1.18057,0.01334,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,16993.7,1.17841,1.1621,0.00653,0.69358,0.49662,0.52512,0.38522,1.3072,1.18011,0.01332,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,17246.6,1.1615,1.15894,0.00658,0.68977,0.49713,0.52591,0.38517,1.3065,1.18012,0.0133,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,17491.2,1.1278,1.01878,0.00735,0.6833,0.50071,0.52499,0.38502,1.30617,1.17912,0.01331,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,17757.2,1.10372,0.9802,0.00711,0.68201,0.50434,0.52574,0.38543,1.30642,1.17654,0.01333,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,18034.8,1.09662,0.96531,0.00709,0.68251,0.50495,0.52522,0.38506,1.30565,1.17734,0.01332,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,18266.6,1.09628,0.95286,0.00702,0.67998,0.50499,0.52657,0.38591,1.30577,1.17473,0.01335,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,18509.3,1.0898,0.94369,0.00694,0.68113,0.50484,0.52714,0.38613,1.30484,1.17504,0.01334,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,18772.2,1.08917,0.94095,0.0069,0.67864,0.50593,0.52845,0.38657,1.3058,1.17043,0.01336,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,19046.3,1.08033,0.93042,0.00687,0.68247,0.50439,0.52836,0.38667,1.30593,1.16899,0.01336,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,19270.4,1.07767,0.92755,0.00682,0.67756,0.50672,0.53073,0.38841,1.3049,1.16825,0.01333,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,19533.7,1.06832,0.92233,0.00675,0.68419,0.50374,0.53248,0.38982,1.30432,1.16655,0.01333,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,19773,1.06611,0.91576,0.00677,0.68634,0.50367,0.53272,0.39045,1.30273,1.16652,0.0133,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
